Ensembl Gene ID	Ensembl Transcript ID	Affy zebrafish	HGNC symbol
ENSDARG00000070922	ENSDART00000104520	Dr.25850.3.A1_at	
ENSDARG00000059406	ENSDART00000082519		
ENSDARG00000007630	ENSDART00000130504	Dr.1652.2.S1_a_at	
ENSDARG00000007630	ENSDART00000128544	Dr.1652.2.S1_a_at	
ENSDARG00000007630	ENSDART00000019997	Dr.1652.2.S1_a_at	
ENSDARG00000007630	ENSDART00000122555	Dr.1652.2.S1_a_at	
ENSDARG00000086655	ENSDART00000122133		
ENSDARG00000089374	ENSDART00000126111		
ENSDARG00000091851	ENSDART00000104505		TSEN2
ENSDARG00000031848	ENSDART00000039950		
ENSDARG00000078971	ENSDART00000090910	Dr.12806.1.A1_at	
ENSDARG00000090394	ENSDART00000130839		TIMP4
ENSDARG00000040113	ENSDART00000058669	Dr.16518.1.A1_at	C11H3orf31
ENSDARG00000040114	ENSDART00000058672		
ENSDARG00000078008	ENSDART00000111987		ATG7
ENSDARG00000052425	ENSDART00000074283		
ENSDARG00000039647	ENSDART00000017551	Dr.7076.1.A1_at	SLC6A1 (1 of 2)
ENSDARG00000039647	ENSDART00000017551	Dr.25448.1.A1_at	SLC6A1 (1 of 2)
ENSDARG00000039647	ENSDART00000057952	Dr.25448.1.A1_at	SLC6A1 (1 of 2)
ENSDARG00000087981	ENSDART00000128226		
ENSDARG00000040435	ENSDART00000121579		SLC6A11
ENSDARG00000063433	ENSDART00000092726		
ENSDARG00000007955	ENSDART00000004423	Dr.5185.1.A1_at	
ENSDARG00000077717	ENSDART00000111140	Dr.24932.1.S1_at	RPL29
ENSDARG00000091799	ENSDART00000121537		C11H20orf177 (2 of 2)
ENSDARG00000076248	ENSDART00000112733		
ENSDARG00000019304	ENSDART00000050762		
ENSDARG00000019304	ENSDART00000134233		
ENSDARG00000014138	ENSDART00000027386		
ENSDARG00000016783	ENSDART00000139079		
ENSDARG00000016783	ENSDART00000002318	Dr.4579.1.A1_at	
ENSDARG00000016783	ENSDART00000143814		
ENSDARG00000016783	ENSDART00000147311		
ENSDARG00000045025	ENSDART00000066191	Dr.15827.1.A1_at	
ENSDARG00000073787	ENSDART00000110097	Dr.13745.2.A1_x_at	
ENSDARG00000073787	ENSDART00000110097	Dr.13745.3.A1_x_at	
ENSDARG00000032264	ENSDART00000121489	Dr.17421.1.A1_at	
ENSDARG00000032264	ENSDART00000040577	Dr.17421.1.A1_at	
ENSDARG00000032264	ENSDART00000137479		
ENSDARG00000075504	ENSDART00000112597		DTX3L
ENSDARG00000044179	ENSDART00000065470		RBMS2 (2 of 2)
ENSDARG00000039444	ENSDART00000057622		FAIM2
ENSDARG00000059370	ENSDART00000082475		
ENSDARG00000054003	ENSDART00000052546		
ENSDARG00000011020	ENSDART00000018131		
ENSDARG00000011020	ENSDART00000082448		
ENSDARG00000016391	ENSDART00000008409	Dr.24979.1.S1_at	
ENSDARG00000090023	ENSDART00000123944		
ENSDARG00000090023	ENSDART00000123475		
ENSDARG00000063611	ENSDART00000093123		SMUG1
ENSDARG00000046045	ENSDART00000067698	Dr.5729.1.S1_at	
ENSDARG00000079406	ENSDART00000111698		
ENSDARG00000046043	ENSDART00000067696	Dr.15715.1.S1_at	
ENSDARG00000070939	ENSDART00000104570	Dr.7275.1.A1_at	
ENSDARG00000070939	ENSDART00000109026		
ENSDARG00000076009	ENSDART00000113698	Dr.3310.1.A1_at	LIMA1 (2 of 2)
ENSDARG00000070941	ENSDART00000104571		
ENSDARG00000091637	ENSDART00000126761		PIP4K2C (2 of 2)
ENSDARG00000041875	ENSDART00000067117	Dr.9121.1.S1_at	UBE2V1
ENSDARG00000091702	ENSDART00000124520		CSNK2A1
ENSDARG00000090820	ENSDART00000125272	Dr.17311.1.A1_at	
ENSDARG00000090821	ENSDART00000129854		
ENSDARG00000086133	ENSDART00000125677		SERINC3
ENSDARG00000002898	ENSDART00000009863		DGKA (2 of 2)
ENSDARG00000090976	ENSDART00000130886		OBFC2B
ENSDARG00000063576	ENSDART00000093022		ANKRD52 (2 of 2)
ENSDARG00000007207	ENSDART00000056065		
ENSDARG00000059396	ENSDART00000082507		
ENSDARG00000078076	ENSDART00000114079		NAB2
ENSDARG00000091478	ENSDART00000125668		DNAJC14
ENSDARG00000002897	ENSDART00000008133	Dr.6517.3.A1_at	INPP1
ENSDARG00000076652	ENSDART00000111324		
ENSDARG00000077095	ENSDART00000093052		HIPK1 (2 of 2)
ENSDARG00000038414	ENSDART00000082510		
ENSDARG00000059399	ENSDART00000082511		
ENSDARG00000059400	ENSDART00000082512		TMEM167B
ENSDARG00000090105	ENSDART00000126536	Dr.6946.1.A1_at	
ENSDARG00000028721	ENSDART00000132768	Dr.19392.1.S1_at	
ENSDARG00000028721	ENSDART00000030921	Dr.14994.1.A1_at	
ENSDARG00000028721	ENSDART00000030921	Dr.19392.1.S1_at	
ENSDARG00000028721	ENSDART00000040147	Dr.25727.1.A1_at	
ENSDARG00000031560	ENSDART00000042972	Dr.7820.2.S1_at	
ENSDARG00000045023	ENSDART00000066189		
ENSDARG00000045023	ENSDART00000148785		
ENSDARG00000009733	ENSDART00000093108		KIF21B
ENSDARG00000070919	ENSDART00000126071		
ENSDARG00000070919	ENSDART00000104503		
ENSDARG00000070919	ENSDART00000050098		
ENSDARG00000078497	ENSDART00000112417	Dr.921.1.A1_at	TIMELESS
ENSDARG00000078497	ENSDART00000112417	DrAffx.2.64.S1_at	TIMELESS
ENSDARG00000091298	ENSDART00000123568		
ENSDARG00000091557	ENSDART00000124999		MMP19
ENSDARG00000026577	ENSDART00000036581	Dr.17883.1.S1_at	
ENSDARG00000059357	ENSDART00000082458		SARNP
ENSDARG00000028306	ENSDART00000121861	Dr.263.2.S1_at	
ENSDARG00000028306	ENSDART00000121861	Dr.263.1.S1_a_at	
ENSDARG00000028306	ENSDART00000121861	Dr.263.1.S1_at	
ENSDARG00000028306	ENSDART00000121861	Dr.263.2.S1_x_at	
ENSDARG00000045014	ENSDART00000066177	Dr.4872.1.S1_at	
ENSDARG00000045014	ENSDART00000066177	Dr.26381.1.A1_at	
ENSDARG00000091574	ENSDART00000127982		SUOX
ENSDARG00000020840	ENSDART00000002545	Dr.23962.1.A1_at	
ENSDARG00000039386	ENSDART00000047529	Dr.17461.1.A1_at	
ENSDARG00000074565	ENSDART00000113096		PUSL1
ENSDARG00000005699	ENSDART00000009788	Dr.19274.1.S2_at	
ENSDARG00000005699	ENSDART00000009788	Dr.10243.1.A1_at	
ENSDARG00000005699	ENSDART00000009788	Dr.19274.1.S1_at	
ENSDARG00000055011	ENSDART00000104488		
ENSDARG00000055014	ENSDART00000077305		
ENSDARG00000038199	ENSDART00000055694		
ENSDARG00000060725	ENSDART00000085855		DNAJC16 (2 of 2)
ENSDARG00000055036	ENSDART00000132121	Dr.18473.1.A1_at	
ENSDARG00000055036	ENSDART00000077312	Dr.18473.1.A1_at	
ENSDARG00000055036	ENSDART00000136577		
ENSDARG00000055036	ENSDART00000141710		
ENSDARG00000055053	ENSDART00000077344		
ENSDARG00000059327	ENSDART00000082425	Dr.356.1.S1_at	
ENSDARG00000059327	ENSDART00000136311	Dr.356.1.S1_at	
ENSDARG00000059327	ENSDART00000082420	Dr.356.1.S1_at	
ENSDARG00000059323	ENSDART00000134858	Dr.445.2.S1_a_at	
ENSDARG00000059323	ENSDART00000082409	Dr.445.2.S1_a_at	
ENSDARG00000059323	ENSDART00000131100	Dr.445.2.S1_a_at	
ENSDARG00000059323	ENSDART00000082404	Dr.445.2.S1_a_at	
ENSDARG00000003877	ENSDART00000045971		PBRM1 (1 of 2)
ENSDARG00000006219	ENSDART00000122953	Dr.7311.1.S1_at	
ENSDARG00000006219	ENSDART00000122833		
ENSDARG00000040157	ENSDART00000058735		
ENSDARG00000059298	ENSDART00000082379	Dr.1237.1.S1_at	
ENSDARG00000040152	ENSDART00000058728	Dr.26039.1.A1_at	
ENSDARG00000029474	ENSDART00000041417		CAMK1 (1 of 2)
ENSDARG00000030632	ENSDART00000042221		
ENSDARG00000086300	ENSDART00000121716		FAM107A (1 of 3)
ENSDARG00000087898	ENSDART00000082366		
ENSDARG00000086096	ENSDART00000114430		
ENSDARG00000090151	ENSDART00000104435		
ENSDARG00000089099	ENSDART00000123226		
ENSDARG00000045006	ENSDART00000092552	Dr.22151.1.A1_at	
ENSDARG00000045006	ENSDART00000122270		
ENSDARG00000006963	ENSDART00000013203	Dr.53.1.S1_at	
ENSDARG00000006963	ENSDART00000136639	Dr.53.1.S1_at	
ENSDARG00000090826	ENSDART00000125951		MED26 (2 of 2)
ENSDARG00000011945	ENSDART00000027850	Dr.3762.1.S1_at	
ENSDARG00000088017	ENSDART00000105622		PRAM1
ENSDARG00000025559	ENSDART00000066168		PEX11G
ENSDARG00000090675	ENSDART00000112590	Dr.7323.1.A1_at	APBA3
ENSDARG00000074221	ENSDART00000113281	Dr.12694.1.A1_at	
ENSDARG00000063254	ENSDART00000092270		C11H19orf22
ENSDARG00000070843	ENSDART00000104358		ARID3A
ENSDARG00000089646	ENSDART00000126084	Dr.5629.1.A1_at	
ENSDARG00000074552	ENSDART00000111374	Dr.7783.1.S1_at	
ENSDARG00000070844	ENSDART00000104360	Dr.25133.8.S1_at	
ENSDARG00000070844	ENSDART00000141825		
ENSDARG00000070846	ENSDART00000129663		
ENSDARG00000070846	ENSDART00000145516		
ENSDARG00000070846	ENSDART00000104362		
ENSDARG00000070846	ENSDART00000130768		
ENSDARG00000070846	ENSDART00000142935		
ENSDARG00000070849	ENSDART00000104364	Dr.25264.2.S1_at	
ENSDARG00000076620	ENSDART00000110033		ABHD8 (2 of 2)
ENSDARG00000076074	ENSDART00000123601	Dr.399.1.A1_at	
ENSDARG00000076074	ENSDART00000140960		
ENSDARG00000077229	ENSDART00000108628		ANO8 (1 of 2)
ENSDARG00000018650	ENSDART00000022526		
ENSDARG00000045003	ENSDART00000066164	Dr.9655.1.A1_at	
ENSDARG00000045003	ENSDART00000147761		
ENSDARG00000077526	ENSDART00000008980		BABAM1
ENSDARG00000077526	ENSDART00000122262		BABAM1
ENSDARG00000089071	ENSDART00000131037		USHBP1 (1 of 2)
ENSDARG00000003165	ENSDART00000027666	Dr.16181.1.A1_at	
ENSDARG00000003165	ENSDART00000123931	Dr.16181.1.A1_at	
ENSDARG00000059177	ENSDART00000082223	Dr.4788.1.S1_at	
ENSDARG00000059177	ENSDART00000131920	Dr.4788.1.S1_at	
ENSDARG00000010096	ENSDART00000012789		
ENSDARG00000074772	ENSDART00000109972	Dr.15238.1.S1_at	
ENSDARG00000013016	ENSDART00000149587	Dr.14836.1.A1_at	POLE4
ENSDARG00000013016	ENSDART00000148246	Dr.14836.1.A1_at	POLE4
ENSDARG00000013016	ENSDART00000150199	Dr.14836.1.A1_at	POLE4
ENSDARG00000013016	ENSDART00000019440	Dr.14836.1.A1_at	POLE4
ENSDARG00000013016	ENSDART00000149058	Dr.14836.1.A1_at	POLE4
ENSDARG00000074519	ENSDART00000111841		
ENSDARG00000070873	ENSDART00000104405	Dr.9122.1.S1_at	
ENSDARG00000008890	ENSDART00000002459		
ENSDARG00000008727	ENSDART00000139882		
ENSDARG00000008727	ENSDART00000104409		
ENSDARG00000079849	ENSDART00000113882		NRTN
ENSDARG00000042777	ENSDART00000062787	Dr.14279.1.S1_at	NDUFA11
ENSDARG00000006916	ENSDART00000016475	Dr.19212.1.A1_at	VMAC
ENSDARG00000089925	ENSDART00000124240	Dr.12674.1.S1_at	TAOK1 (3 of 3)
ENSDARG00000079748	ENSDART00000109958		ABHD15
ENSDARG00000040391	ENSDART00000131005	Dr.12674.2.A1_at	
ENSDARG00000040391	ENSDART00000045880	Dr.12674.2.A1_at	
ENSDARG00000003968	ENSDART00000004483	Dr.841.1.A1_at	
ENSDARG00000003968	ENSDART00000134957	Dr.841.1.A1_at	
ENSDARG00000003968	ENSDART00000137879		
ENSDARG00000027744	ENSDART00000036939	Dr.1378.1.S1_at	
ENSDARG00000027744	ENSDART00000036939	Dr.1378.2.S1_a_at	
ENSDARG00000027744	ENSDART00000140707	Dr.1378.1.S1_at	
ENSDARG00000027744	ENSDART00000140707	Dr.1378.2.S1_a_at	
ENSDARG00000027744	ENSDART00000136382	Dr.1378.1.S1_at	
ENSDARG00000027744	ENSDART00000136382	Dr.1378.2.S1_a_at	
ENSDARG00000095559	ENSDART00000131236		
ENSDARG00000095559	ENSDART00000146661		
ENSDARG00000002411	ENSDART00000139454		PDE4C (2 of 2)
ENSDARG00000002411	ENSDART00000104292	Dr.10973.1.A1_at	PDE4C (2 of 2)
ENSDARG00000093251	ENSDART00000140901		
ENSDARG00000043835	ENSDART00000124350		
ENSDARG00000043835	ENSDART00000104289		
ENSDARG00000023852	ENSDART00000037824	Dr.11330.1.S1_at	
ENSDARG00000012899	ENSDART00000007204	Dr.4017.1.S1_at	
ENSDARG00000053876	ENSDART00000075998	Dr.7655.1.A1_at	
ENSDARG00000053876	ENSDART00000075998	Dr.16233.1.A1_at	
ENSDARG00000053876	ENSDART00000144181	Dr.7655.1.A1_at	
ENSDARG00000053876	ENSDART00000144181	Dr.16233.1.A1_at	
ENSDARG00000076076	ENSDART00000132674		CRTC1 (2 of 2)
ENSDARG00000076076	ENSDART00000075993		CRTC1 (2 of 2)
ENSDARG00000076076	ENSDART00000144006		CRTC1 (2 of 2)
ENSDARG00000076076	ENSDART00000137049		CRTC1 (2 of 2)
ENSDARG00000053865	ENSDART00000075985		COMP
ENSDARG00000089230	ENSDART00000129955	Dr.25616.1.A1_at	
ENSDARG00000089230	ENSDART00000129955	Dr.20.2.S1_at	
ENSDARG00000070048	ENSDART00000102493	Dr.16007.1.S1_at	
ENSDARG00000055093	ENSDART00000077406		
ENSDARG00000074904	ENSDART00000112156		DBNDD2
ENSDARG00000088362	ENSDART00000130328		
ENSDARG00000018260	ENSDART00000016472	Dr.8110.1.S1_at	
ENSDARG00000018260	ENSDART00000143942	Dr.8110.1.S1_at	
ENSDARG00000091646	ENSDART00000129836		C11H19orf25 (2 of 2)
ENSDARG00000087349	ENSDART00000130400		
ENSDARG00000090253	ENSDART00000128959		
ENSDARG00000076110	ENSDART00000111559		NWD1
ENSDARG00000013776	ENSDART00000125619	Dr.4044.1.A1_at	THOP1
ENSDARG00000013776	ENSDART00000046670	Dr.4044.1.A1_at	THOP1
ENSDARG00000024047	ENSDART00000035560	Dr.3983.1.A1_at	
ENSDARG00000074848	ENSDART00000078916	Dr.23161.1.S1_at	C11H19orf42
ENSDARG00000042967	ENSDART00000063080		
ENSDARG00000042965	ENSDART00000063076		
ENSDARG00000076890	ENSDART00000110642	Dr.16819.2.A1_at	C11H19orf25 (1 of 2)
ENSDARG00000076890	ENSDART00000110642	Dr.16819.1.S1_at	C11H19orf25 (1 of 2)
ENSDARG00000063007	ENSDART00000091664		APC2
ENSDARG00000028066	ENSDART00000031937	Dr.16422.1.S1_at	
ENSDARG00000075629	ENSDART00000110683		IFI30 (2 of 2)
ENSDARG00000016448	ENSDART00000103418		
ENSDARG00000016448	ENSDART00000014979	Dr.2978.1.S1_at	
ENSDARG00000013653	ENSDART00000009859	Dr.3375.2.S1_at	ELTD1
ENSDARG00000013653	ENSDART00000009859	Dr.3375.1.A1_at	ELTD1
ENSDARG00000069356	ENSDART00000091550	Dr.220.1.A1_at	LPHN2 (1 of 2)
ENSDARG00000062973	ENSDART00000101561		
ENSDARG00000062973	ENSDART00000091617		
ENSDARG00000001782	ENSDART00000011183		
ENSDARG00000062977	ENSDART00000091638		
ENSDARG00000062977	ENSDART00000138057		
ENSDARG00000007024	ENSDART00000146940	Dr.18834.1.S1_at	
ENSDARG00000007024	ENSDART00000024046	Dr.18834.1.S1_at	
ENSDARG00000007024	ENSDART00000133574	Dr.18834.1.S1_at	
ENSDARG00000077918	ENSDART00000112127		DNASE2B
ENSDARG00000058683	ENSDART00000081069		
ENSDARG00000001712	ENSDART00000052698		
ENSDARG00000058696	ENSDART00000126523		TBL1XR1 (2 of 2)
ENSDARG00000058696	ENSDART00000146515		TBL1XR1 (2 of 2)
ENSDARG00000058696	ENSDART00000141612		TBL1XR1 (2 of 2)
ENSDARG00000058696	ENSDART00000081607		TBL1XR1 (2 of 2)
ENSDARG00000095163	ENSDART00000134372		
ENSDARG00000086489	ENSDART00000124127		NAALADL2
ENSDARG00000077710	ENSDART00000113171	Dr.18973.1.A1_at	
ENSDARG00000087133	ENSDART00000123359		
ENSDARG00000007278	ENSDART00000081827	Dr.12679.1.S1_at	
ENSDARG00000007278	ENSDART00000011087		
ENSDARG00000079742	ENSDART00000115255		MCF2L2
ENSDARG00000018971	ENSDART00000132365	Dr.23942.1.S1_at	
ENSDARG00000018971	ENSDART00000024948	Dr.23942.1.S1_at	
ENSDARG00000063133	ENSDART00000091923		SLC4A10 (2 of 2)
ENSDARG00000076259	ENSDART00000040180		
ENSDARG00000063100	ENSDART00000091901		
ENSDARG00000074023	ENSDART00000064860	Dr.8859.1.A1_at	
ENSDARG00000002494	ENSDART00000065933		
ENSDARG00000077474	ENSDART00000111091		PLA2R1
ENSDARG00000053113	ENSDART00000026135	Dr.12772.1.A1_at	LY75
ENSDARG00000053113	ENSDART00000148030	Dr.12772.1.A1_at	LY75
ENSDARG00000074035	ENSDART00000110966		MVD
ENSDARG00000040871	ENSDART00000059907		
ENSDARG00000040871	ENSDART00000122873		
ENSDARG00000068644	ENSDART00000099370		
ENSDARG00000075433	ENSDART00000087105		
ENSDARG00000007715	ENSDART00000020256		
ENSDARG00000006242	ENSDART00000026814	Dr.4179.1.S1_at	
ENSDARG00000006242	ENSDART00000148425		
ENSDARG00000006242	ENSDART00000129843	Dr.4179.1.S1_at	
ENSDARG00000073699	ENSDART00000113311		COL9A1 (1 of 2)
ENSDARG00000058824	ENSDART00000081765	Dr.1052.1.S1_at	MRPL4
ENSDARG00000017337	ENSDART00000016677	Dr.17501.1.A1_at	C11H6orf120
ENSDARG00000094113	ENSDART00000135969		
ENSDARG00000095364	ENSDART00000134165		
ENSDARG00000092054	ENSDART00000132357		
ENSDARG00000092839	ENSDART00000139838		
ENSDARG00000094335	ENSDART00000145515		
ENSDARG00000088552	ENSDART00000122368		
ENSDARG00000093221	ENSDART00000135427		
ENSDARG00000044976	ENSDART00000005485	Dr.951.1.A1_at	
ENSDARG00000044975	ENSDART00000030103	Dr.1361.1.S1_at	
ENSDARG00000044973	ENSDART00000066108		
ENSDARG00000044973	ENSDART00000134806		
ENSDARG00000044973	ENSDART00000140421		
ENSDARG00000044973	ENSDART00000104264		
ENSDARG00000044973	ENSDART00000132291		
ENSDARG00000044973	ENSDART00000123323		
ENSDARG00000044973	ENSDART00000137449		
ENSDARG00000044973	ENSDART00000133488		
ENSDARG00000036840	ENSDART00000104260	Dr.25556.1.S1_at	
ENSDARG00000036840	ENSDART00000104254	Dr.25556.1.S1_at	
ENSDARG00000036840	ENSDART00000104250	Dr.25556.1.S1_at	
ENSDARG00000036840	ENSDART00000025016	Dr.25556.1.S1_at	
ENSDARG00000019365	ENSDART00000142208	Dr.1923.1.S1_at	
ENSDARG00000019365	ENSDART00000027447	Dr.1923.1.S1_at	
ENSDARG00000019365	ENSDART00000136114	Dr.1923.1.S1_at	
ENSDARG00000074508	ENSDART00000112328		HAP1
ENSDARG00000070787	ENSDART00000003891	Dr.25119.1.S1_s_at	
ENSDARG00000070787	ENSDART00000130644	Dr.25119.1.S1_s_at	
ENSDARG00000070787	ENSDART00000081018	Dr.25119.1.S1_s_at	
ENSDARG00000070787	ENSDART00000146512	Dr.25119.1.S1_s_at	
ENSDARG00000009942	ENSDART00000011657	Dr.3850.1.A1_at	CDC6
ENSDARG00000056838	ENSDART00000079393		
ENSDARG00000058663	ENSDART00000081558		
ENSDARG00000090846	ENSDART00000129229		
ENSDARG00000045298	ENSDART00000081544	Dr.12755.1.S1_at	WIPF2 (2 of 2)
ENSDARG00000062913	ENSDART00000091376		
ENSDARG00000077988	ENSDART00000115249	Dr.16618.1.A1_at	
ENSDARG00000086998	ENSDART00000125060	Dr.26459.1.S1_at	
ENSDARG00000076763	ENSDART00000111919		SP2 (2 of 2)
ENSDARG00000077018	ENSDART00000110117		
ENSDARG00000086077	ENSDART00000127611		
ENSDARG00000070812	ENSDART00000108681		
ENSDARG00000070812	ENSDART00000112677		
ENSDARG00000014356	ENSDART00000041533	Dr.7196.1.S1_at	
ENSDARG00000014356	ENSDART00000104203	Dr.7196.1.S1_at	
ENSDARG00000014356	ENSDART00000128364	Dr.7196.1.S1_at	
ENSDARG00000014356	ENSDART00000138969	Dr.7196.1.S1_at	
ENSDARG00000022334	ENSDART00000125446		
ENSDARG00000022334	ENSDART00000041914		
ENSDARG00000044943	ENSDART00000147670	Dr.12473.1.A1_at	
ENSDARG00000044943	ENSDART00000130318	Dr.12473.1.A1_at	
ENSDARG00000044943	ENSDART00000066065	Dr.12473.1.A1_at	
ENSDARG00000044942	ENSDART00000136108	Dr.7183.1.S1_at	
ENSDARG00000044942	ENSDART00000133236	Dr.7183.1.S1_at	
ENSDARG00000044942	ENSDART00000104226	Dr.7183.1.S1_at	
ENSDARG00000044942	ENSDART00000066064	Dr.7183.1.S1_at	
ENSDARG00000076643	ENSDART00000122330		GPR179 (2 of 2)
ENSDARG00000076643	ENSDART00000115100		GPR179 (2 of 2)
ENSDARG00000090553	ENSDART00000124586		
ENSDARG00000090989	ENSDART00000125615		
ENSDARG00000022370	ENSDART00000029595	Dr.26459.1.S1_at	
ENSDARG00000088982	ENSDART00000127132		
ENSDARG00000095000	ENSDART00000148014		
ENSDARG00000095491	ENSDART00000143061		
ENSDARG00000092356	ENSDART00000145338		
ENSDARG00000094987	ENSDART00000134836		
ENSDARG00000094152	ENSDART00000135031		
ENSDARG00000088009	ENSDART00000113175		
ENSDARG00000088166	ENSDART00000126691		
ENSDARG00000090197	ENSDART00000112540		
ENSDARG00000094884	ENSDART00000135694		
ENSDARG00000094196	ENSDART00000140221		
ENSDARG00000090104	ENSDART00000112523		
ENSDARG00000087708	ENSDART00000111121		
ENSDARG00000077344	ENSDART00000110130		
ENSDARG00000089182	ENSDART00000127768		
ENSDARG00000079615	ENSDART00000104179		
ENSDARG00000077475	ENSDART00000114391		
ENSDARG00000088658	ENSDART00000122020		
ENSDARG00000058504	ENSDART00000054837	Dr.5499.1.S1_at	
ENSDARG00000058504	ENSDART00000144954		
ENSDARG00000058504	ENSDART00000131115	Dr.5499.1.S1_at	
ENSDARG00000058504	ENSDART00000135761		
ENSDARG00000058504	ENSDART00000122812		
ENSDARG00000058448	ENSDART00000081319		
ENSDARG00000015208	ENSDART00000081335	Dr.1119.1.S1_at	
ENSDARG00000015208	ENSDART00000131059	Dr.1119.1.S1_at	
ENSDARG00000015208	ENSDART00000136331		
ENSDARG00000015208	ENSDART00000142481	Dr.1119.1.S1_at	
ENSDARG00000015208	ENSDART00000008144	Dr.1119.1.S1_at	
ENSDARG00000077719	ENSDART00000126503	DrAffx.1.45.S1_at	
ENSDARG00000001969	ENSDART00000104143	Dr.14735.1.A1_at	C11HYorf15B
ENSDARG00000001969	ENSDART00000104143	Dr.14735.1.A1_at	TXLNG
ENSDARG00000001969	ENSDART00000103449	Dr.14735.1.A1_at	C11HYorf15B
ENSDARG00000001969	ENSDART00000103449	Dr.14735.1.A1_at	TXLNG
ENSDARG00000001969	ENSDART00000121539		C11HYorf15B
ENSDARG00000001969	ENSDART00000121539		TXLNG
ENSDARG00000035074	ENSDART00000123445		RTEL1
ENSDARG00000035074	ENSDART00000104127		RTEL1
ENSDARG00000035074	ENSDART00000066122		RTEL1
ENSDARG00000027403	ENSDART00000037474	Dr.8874.2.S1_at	
ENSDARG00000027403	ENSDART00000129352	Dr.8874.2.S1_at	
ENSDARG00000058416	ENSDART00000081296		
ENSDARG00000091100	ENSDART00000127595		
ENSDARG00000070724	ENSDART00000018614		
ENSDARG00000089681	ENSDART00000104113	Dr.13684.1.S1_at	
ENSDARG00000074016	ENSDART00000108968		PTGFR (1 of 2)
ENSDARG00000062723	ENSDART00000091010		ZFYVE9 (3 of 3)
ENSDARG00000087295	ENSDART00000125500		ZFYVE9 (2 of 3)
ENSDARG00000070722	ENSDART00000112558	Dr.13684.1.S1_at	
ENSDARG00000026238	ENSDART00000081625		PTGFR (2 of 2)
ENSDARG00000058393	ENSDART00000104115		
ENSDARG00000058356	ENSDART00000081216	Dr.15059.1.S1_at	
ENSDARG00000058356	ENSDART00000128923	Dr.15059.1.S1_at	
ENSDARG00000058356	ENSDART00000139765	Dr.15059.1.S1_at	
ENSDARG00000058356	ENSDART00000138377		
ENSDARG00000058356	ENSDART00000145726		
ENSDARG00000043705	ENSDART00000064176		
ENSDARG00000018411	ENSDART00000125371	Dr.16489.1.A1_at	
ENSDARG00000018411	ENSDART00000123257	Dr.16489.1.A1_at	
ENSDARG00000070083	ENSDART00000060310	Dr.24685.2.S1_at	ATP5B
ENSDARG00000070078	ENSDART00000102557		
ENSDARG00000086505	ENSDART00000121872		MAST3 (1 of 2)
ENSDARG00000010789	ENSDART00000102553	Dr.16258.1.S1_at	HOMER3
ENSDARG00000010789	ENSDART00000125563		HOMER3
ENSDARG00000070073	ENSDART00000102548		
ENSDARG00000020761	ENSDART00000139889	Dr.26118.1.S1_at	
ENSDARG00000020761	ENSDART00000011362	Dr.2047.1.A1_at	
ENSDARG00000076148	ENSDART00000113055		
ENSDARG00000095540	ENSDART00000137289	Dr.7283.1.S1_at	
